2024-02-29 18:55:50.597  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-f1028693f08aeb3452b84a90a5bddac3 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.597  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-993b864a836742ad889809feac2fc7c6 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.597  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-75bef9303a188c5a474ab60b76ddc024 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.598  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-a95f289f3a254064d70cbf77b5018ffc Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.598  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-61cc9f6e71aad40257fda9a3c41d9fae Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.598  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-a3f092e509f1697699e708f6f9bbd3ff Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.599  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-ecf98fcdc48380b84c26d501fb5fbe6a Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.599  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-a9656a4863d8ba9ce82f7510d962eee4 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.599  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-e7ffe5c99c444d5dc884125f0b5c6588 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.600  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-e570706eca4837f2029315777348c6c5 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.600  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-c3c75145f89bfe1d9280e60f80c03409 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.600  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-2d46b67ed5d848048332d06e30fc909d Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.601  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-21e5ddacadefaec1c5922b00410a64ea Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.604  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-1ce8681000a9919c3ed779721c296470 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.604  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-f74f0c94099724fb298ad694a113edcd Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.604  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-5c30a1898350d82dc3ba979e2765b8a6 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.604  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-4d3372114c5662e033c26ff1d6e555dd Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.605  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-e9ac0eded0fa8ca9c10151a329b50db5 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.605  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-0302c81e5cf0e930062c113e0c690724 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.605  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-dc5b38e51d014421c06d4b24cf2911f7 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.605  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-02f9aa9d38fc81e3614d745aa899bbf2 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.605  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-c09851f38e6869274e016681890f73bb Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.606  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-b1f8c1a4bd27096d84721c50984f650b Requested Resources: Requirements(cpu=6, ram=38654705664)
